,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
HPJn0216,HPJn0216,2018,10,Spring,June,1,0.09,9.62,0.78,0.28,1.06,11.78,0.08,0.11,HP1,11:20:00,27.94,33.3,62.5,2.07,8.01,6/19/18,2018-06-19,170,2,7,21.6,33.9,60.7,4.6,599.2,59.4,20.2,0,23,42.7,11.9,63.1,17.4,7.1,13.4,21.3,20.8,197.8,104.42,468.3,572.72,0.012222377,0.037714765,0.059191228,0.105985473,0.008031848,1.046235508,0.103715603,0.035270289,0,0.04015924,0.074556502,0.020778042,0.110176002,0.030381338,0.012396983,0.023397123,0.037190948,0.036317921,0.345369465,0.18232295,0.81767705,KByT,6/19/18,2018.463014,Jun,2679,122392,11634,1191688,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPJn0507,HPJn0507,2019,20,Spring,June,1.1,0.11,13.12,0.46,0.11,0.57,5.18,0.04,0.04,HP1,12:03:00,28.28,36.3,98.2,1.973,7.66,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,2521,211025,13551,1648535,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPJu0837,HPJu0837,2021,36,Summer,June,0.7,NA,NA,NA,NA,NA,NA,NA,NA,HP1,13:01,27.48,34.53,-,1.913,7.35,6/21/21,2021-06-21,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/21/21,2021.468493,Jun,1024,128262,14247,1157390,Run2,Coastal,21.43688,-157.80331,NA,NA
HPJy0244,HPJy0244,2018,11,Summer,July,1.6,0.07,8.52,0.21,NA,NA,NA,0.02,NA,HP1,11:54:00,26.92,34.13,62.1,2.29,7.94,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,4084,256602,21718,1691473,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPJy0667,HPJy0667,2020,28,Summer,July,0.9,NA,NA,NA,NA,NA,NA,NA,NA,HP1,13:29:00,28.07,33.31,-,1.987,7.27,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,158,290677,21548,1301474,Run2,Coastal,21.43688,-157.80331,NA,NA
HPMa0418,HPMa0418,2019,17,Winter,March,1.2,0.11,16.57,0.39,0.13,0.52,4.73,0.02,0.03,HP1,12:17:00,24.07,34.54,98.2,2.13,7.78,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,2364,73638,11647,1540770,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPMa0627,HPMa0627,2020,26,Winter,March,2.3,NA,NA,NA,NA,NA,NA,NA,NA,HP1,12:47:00,25.9,31.1,-,2.081,7.77,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,5436,327575,42124,1376622,Run2,Coastal,21.43688,-157.80331,NA,NA
HPMy0176,HPMy0176,2018,8,Spring,May,1.3,0.08,8.31,0.45,NA,NA,NA,0.05,NA,HP1,11:53:00,24.59,33.75,96.1,1.89,8.08,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,3992,133133,16085,1244539,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPMy0487,HPMy0487,2019,19,Spring,May,1.2,0.06,15.08,0.2,0.03,0.23,3.83,0.01,0.02,HP1,12:36:00,27.8,35.5,-99.9,2.136,7.66,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,13065,391719,22020,2342683,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPMy0647,HPMy0647,2020,27,Spring,May,1.5,NA,NA,NA,NA,NA,NA,NA,NA,HP1,12:14:00,26.37,33.13,-,1.976,7.51,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,1326,207887,12382,1755958,Run2,Coastal,21.43688,-157.80331,NA,NA
HPMy0817,HPMy0817,2021,35,Spring,May,0.8,0.13,9.77,0.11,NA,NA,NA,0.01,NA,HP1,12:37,26.32,34.66,-,1.9,7.64,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,2587,270876,22336,1336954,Run2,Coastal,21.43688,-157.80331,NA,NA
HPNo0074,HPNo0074,2017,3,Fall,November,1,0.09,3.88,0.14,NA,NA,NA,0.04,NA,HP1,9:56:00,26.5,34.1,108,2.38,7.98,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,1064,56725,14903,815214,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPNo0322,HPNo0322,2018,14,Fall,November,1.4,0.11,14.28,1.1,0.24,1.34,12.18,0.08,0.09,HP1,13:26:00,28.04,33.88,-99.9,2.046,7.62,11/9/18,2018-11-09,313,1.96,6.7,21.9,66.4,69.3,8.2,1047.5,140.8,59.9,7.7,41,43.8,10.9,146.5,8.1,11.8,28.8,31.4,25.8,107.1,81.92,944.88,1026.8,0.006525127,0.021328399,0.064666926,0.067491235,0.007985976,1.02015972,0.137125049,0.05833658,0.007499026,0.039929879,0.042656798,0.010615504,0.142676276,0.007888586,0.011492014,0.028048305,0.030580444,0.025126607,0.104304636,0.079781847,0.920218153,KByT,11/9/18,2018.854795,Nov,26,63908,7511,1192869,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPNo0727,HPNo0727,2020,31,Fall,November,1,NA,NA,NA,NA,NA,NA,NA,NA,HP1,13:15,25.83,34.99,-,2.236,7.95,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,0,73900,3033,460931,Run2,Coastal,21.43688,-157.80331,NA,NA
HPOc0290,HPOc0290,2018,13,Fall,October,2.1,0.12,22.73,0.18,NA,NA,NA,0.01,NA,HP1,13:35:00,27.31,33.67,-99.9,2.31,7.92,10/11/18,2018-10-11,284,1.3,17.4,62.3,122.5,172.6,13.4,2178.3,278.3,150.8,8.5,137.2,97.1,10.9,234.7,19.1,24.2,95.5,72.8,60.1,436,116.97,2031.76,2148.73,0.008097807,0.028993871,0.05701042,0.080326518,0.006236242,1.013761617,0.129518367,0.070180991,0.003955825,0.063851671,0.045189484,0.005072764,0.109227311,0.008888972,0.011262467,0.044444858,0.033880478,0.02797001,0.202910556,0.054436807,0.945563193,KByT,10/11/18,2018.775342,Oct,4714,365759,19276,2029592,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPOc0567,HPOc0567,2019,23,Fall,October,0.9,NA,NA,NA,NA,NA,NA,NA,NA,HP1,9:15:00,28.03,33.28,-,2.01,7.89,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,1392,322270,18803,1500800,Run2,Coastal,21.43688,-157.80331,NA,NA
HPSe0054,HPSe0054,2017,2,Summer,September,1.3,0.11,9.72,0.59,0.3,0.89,8.09,0.06,0.09,HP1,7:50:00,27,34.71,111,1.589,7.48,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,0,117127,8417,1300004,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPSe0264,HPSe0264,2018,12,Summer,September,2,0.09,12.56,0.29,NA,NA,NA,0.02,NA,HP1,13:43:00,28.15,31.81,-9.4,1.85,7.92,9/11/18,2018-09-11,254,1.65,12,51.7,81.8,204.4,10.4,1877,240.2,85,10.6,124,84.7,12.9,114.4,18.4,26.6,97.1,57.4,60.4,655.4,106.09,1744.04,1850.14,0.006485996,0.027943831,0.04421287,0.110478126,0.005621196,1.01451782,0.129828013,0.045942469,0.005729296,0.067021955,0.045780319,0.006972445,0.061833159,0.009945193,0.01437729,0.052482515,0.031024679,0.032646178,0.354243463,0.057341607,0.942652988,KByT,9/11/18,2018.693151,Sep,0,471199,22427,1903444,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPSe0707,HPSe0707,2020,30,Summer,September,0.8,0.25,12.82,0.77,0.42,1.19,4.76,0.06,0.09,HP1,13:40:00,28.01,35.44,-,2.15,7.73,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,0,76382,9861,1170718,Run2,Coastal,21.43688,-157.80331,NA,NA
KADe0006,KADe0006,2020,32,Fall,December,2.3,0.14,28.29,0.52,0.65,1.17,8.36,0.02,0.04,KAHO,13:57,26.6,33.2,147,0.514,8.17,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHO,12/23/20,2020.97541,Dec,643,32998,13906,1889013,Run2,Coastal,21.43582,-157.80546,NA,NA
KAFe0009,KAFe0009,2021,33,Winter,February,0.5,0.2,12.3,1.2,1.29,2.49,12.45,0.1,0.2,KAHO,15:28,25.8,34.18,145,0.34,7.94,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHO,2/12/21,2021.115068,Feb,118,5594,2245,785197,Run2,Coastal,21.43582,-157.80546,NA,NA
KAMy0018,KAMy0018,2021,35,Spring,May,0.5,0.2,12.32,0.64,0.51,1.15,5.75,0.05,0.09,KAHO,13:03,27.09,34.53,112.4,0.426,7.14,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHO,5/24/21,2021.391781,May,919,103221,7471,758462,Run2,Coastal,21.43582,-157.80546,NA,NA
KASe0002,KASe0002,2020,30,Summer,September,0.9,0.16,22.61,1.83,1.46,3.29,20.56,0.08,0.15,KAHO,2:35,28.4,34.42,158,0.48,8.2,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHO,9/22/20,2020.724044,Sep,0,33799,5213,1736604,Run2,Coastal,21.43582,-157.80546,NA,NA
NB145_R2,NB145_R2,2018,6,Winter,February,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:00:00,23.91,35.17,83.5,2.07,8.07,2/21/18,2018-02-21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/21/18,2018.139726,Feb,6907,18633,4097,644763,Run_Aug2022,Transition,21.49048333,-157.8332833,NA,NA
NBAp0459,NBAp0459,2019,18,Spring,April,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NB,12:27:00,25.73,36.2,-99.9,2.2,7.76,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,1142,102880,16532,896454,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBAp0786,NBAp0786,2021,34,Spring,April,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:57,24.68,34.8,-,1.954,7.91,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,2364,109550,11293,1083004,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBAu0043,NBAu0043,2017,1,Summer,August,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:24:00,28.29,34.42,146,1.773,7.89,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,0,157281,11398,1036586,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBAu0526,NBAu0526,2019,21,Summer,August,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:41:00,29.25,32.93,-55.5,2.085,7.98,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,1458,408854,37830,1377817,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBAu0546,NBAu0546,2019,22,Summer,August,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:25:00,28.65,32.93,-61,1.904,8.08,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,0,401422,22204,1672039,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBAu0686,NBAu0686,2020,29,Summer,August,1,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:19:00,28.31,33.58,-,1.925,7.9,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,7576,165750,11778,1359933,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBDe0103,NBDe0103,2017,4,Fall,December,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NB,14:12:00,27.4,35.43,88.7,2.1,8.15,12/8/17,2017-12-08,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/8/17,2017.934247,Dec,27588,48899,7261,665102,Run_Aug2022,Transition,21.49048333,-157.8332833,NA,NA
NBDe0586,NBDe0586,2019,24,Fall,December,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:24:00,25.61,33.47,-,1.957,7.96,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,14601,42111,10295,532836,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBDe0746,NBDe0746,2020,32,Fall,December,1.3,0.14,9.94,0.88,0.03,0.91,6.5,0.09,0.09,NB,10:24,25.18,34.96,-,2.049,7.87,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,3073,58511,12842,667532,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBFe0395,NBFe0395,2019,16,Winter,February,2,0.05,5.39,0.11,NA,NA,NA,0.02,NA,NB,11:13:00,23.79,33.94,-99,1.905,7.91,2/25/19,2019-02-25,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/25/19,2019.150685,Feb,10859,41428,8469,1421306,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBFe0766,NBFe0766,2021,33,Winter,February,1.1,0.11,6.92,0.19,NA,NA,NA,0.03,NA,NB,10:30,22.97,34.72,-,2.11,7.89,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,4084,49004,16085,973099,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBJa0121,NBJa0121,2018,5,Winter,January,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:03:00,24.05,33.85,85.6,1.94,8.12,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,4491,52904,5147,1143970,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBJa0363,NBJa0363,2019,15,Winter,January,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:14:00,24.19,34.94,-99.9,2.023,8.02,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,5489,76684,4359,923766,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBJa0606,NBJa0606,2020,25,Winter,January,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:05:00,24.32,33.09,-,1.958,7.84,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,18094,23268,12054,876180,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBJn0205,NBJn0205,2018,9,Spring,June,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NB,8:44:00,26.1,34.25,79.8,1.81,8.01,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,10386,266700,18042,1255215,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBJn0225,NBJn0225,2018,10,Spring,June,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NB,8:28:00,27.61,33.92,81.2,2.131,7.99,6/19/18,2018-06-19,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/19/18,2018.463014,Jun,8456,299790,19946,1478688,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBJn0506,NBJn0506,2019,20,Spring,June,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NB,9:49:00,28.13,35.88,-99,1.931,7.66,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,2442,257115,12330,1623088,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBJy0253,NBJy0253,2018,11,Summer,July,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:34:00,27.21,33.68,71.5,2.67,7.97,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,5476,324620,16322,1415909,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBJy0666,NBJy0666,2020,28,Summer,July,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:22:00,27.95,32.91,-,2.016,7.72,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,0,212785,20313,1145388,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBMa0165,NBMa0165,2018,7,Winter,March,1.2,0.09,8.42,0.47,0.08,0.55,6.11,0.06,0.07,NB,9:03:00,24.04,34.35,101,2.017,8.09,3/28/18,2018-03-28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/28/18,2018.235616,Mar,10636,115381,10741,800849,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
